Scientific Name,Family,Genus,Species,CommonName,CS,1-CS,AOO,1-AOO,RCS,RCS.sd,# GBIF occurrence points post-filtering,# records from IcthyMaps,#HUC-8 from IcthyMaps,#HUC-8s from GBIF records,#HUC-12 from GBIF records,acceptedauthorityapi,scientificnames_submitted,statelist_2005,statelist_2015,Status,SCS Listing,InDistributionModelList,Species Conservation List,NAS occurrence,NASLink,AOO_1km_buffer,AOO_5km_buffer,AOO_10km_buffer,AOO_20km_buffer,EOO_MCP,AOO_HUC12,AOO_HUC8,Rank_1km_Buffer,Rank_5km_buffer,Rank_10km_buffer,Rank_20km_buffer,Rank_MCP,Rank_HUC12,Rank_HUC8,Mean Rank,SD Rank,Standardized mean rank (Z-score),CVRank,NatureServe_Range Size,NatureServe Rank,logBuffer1km,logBuffer5km,logBuffer100km,logBuffer20km,logHUC8,logHUC12,logMCP,logNatureServe,Justication if GBIF # records<50,Nomenclature changes,Other notes,SID,ALTSID,NOTES,FID,GID,ITISTSN,OTHERNAMES,NATIVE,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,SEASON,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,LISTED,REASON,dietary breadth,niche breadth
Lepomis punctatus,Centrarchidae,Lepomis,punctatus,Spotted sunfish,0.306274307,0.693725693,0.366419726,0.633580274,0.663652983,0.04567082,2181,1124,221,90,689,http://services.itis.gov/?q=tsn:168155,Lepomis punctatus,North Carolina,NA,0,0,TRUE,,No,,4030.842527,60717.79876,146735.0346,278522.6935,631783.1842,87095.01549,336231.04,119,117,115,112,86,116,105,110,11.5181,0.8641,10.471,350321.9129,83,3.605396,4.783316,5.166534,5.444861,5.526638,4.939993,5.800568,5.544467,,,,Lpunctat,Lpunctat,454,Centrarc,Lepomis,168155,.,1,20,2,5,15000,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,11
Chrosomus erythrogaster,Cyprinidae,Chrosomus,erythrogaster,southern redbelly dace,0.403925867,0.596074133,0.256118576,0.743881424,0.669977778,0.062007325,778,1854,217,120,419,http://services.itis.gov/?q=tsn:913994,"Chrosomus erythrogaster,Phoxinus erythrogaster","Colorado,Illinois,Iowa,Kansas,Michigan,Mississippi,New Mexico,Pennsylvania,South Dakota,West Virginia","Colorado,Iowa,Kansas,Michigan,Mississippi,New Mexico,Ohio,Pennsylvania,South Dakota,West Virginia",1,0,TRUE,,No,,1805.229292,34678.66267,105295.2972,265392.3544,2089017.141,43253.92323,459097.42,107,109,111,110,116,102,111,109.4286,4.27618,0.85957,3.907736,920276.2721,110,3.256532,4.540062,5.022409,5.423888,5.661905,4.636026,6.319942,5.963918,,"Former name: Phoxinus erythrogaster, updated FishTraits",Phoxinus erthrogaster in NatureServe (http://www.natureserve.org/conservation-tools/data-maps-tools/digital-distribution-native-us-fishes-watershed),Perythro,Perythro,656,Cyprinid,Phoxinus,163593,.,1,12,1,3.5,1500,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Morone americana,Moronidae,Morone,americana,white perch,0.543655583,0.456344417,0.115224729,0.884775271,0.670559844,0.066336162,277,869,122,66,171,http://services.itis.gov/?q=tsn:167678,Morone americana,,Rhode Island,1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=698,634.0354511,13728.83588,46675.4662,136092.9691,463272.3545,17243.623,249128.19,83,88,92,98,78,79,96,87.71429,8.014867,0.687429,9.137471,289149.9773,74,2.802114,4.137634,4.669089,5.133836,5.396423,4.236629,5.665836,5.461123,,,,Mamerica,Mamerica,465,Moronida,Morone,167678,.,1,49.5,3.5,12,150000,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
Noturus leptacanthus,Ictaluridae,Noturus,leptacanthus,Speckled Madtom,0.235404573,0.764595427,0.413849056,0.586150944,0.675373186,0.030903464,3012,1709,116,101,900,NA,NA,NA,NA,0,0,TRUE,,No,,4914.449655,71844.17348,169357.6835,299334.4149,493601.2237,90828.33796,370649.63,125,120,118,114,81,117,108,111.8571,14.57656,0.878822,13.03141,394725.0544,89,3.691475,4.856392,5.228805,5.476157,5.568964,4.958221,5.693376,5.596295,,,,Nleptaca,Nleptaca,562,Ictaluri,Noturus,164019,.,1,9.4,1,2.5,45,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,11
Lampetra ayresii,Petromyzontidae,Lampetra,ayresii,western river lamprey,0.624330521,0.375669479,0.007874896,0.992125104,0.683897292,0.076648824,33,17,14,9,12,http://services.itis.gov/?q=tsn:622248,"Lampetra ayresi,Lampetra ayresii,Lampetra ayresii","Alaska,California,Washington","Alaska,California,Oregon,Washington",1,0,FALSE,,No,,45.44915474,1017.57562,3840.227672,13814.29046,146632.8802,1413.014286,22747.18,4,7,9,20,54,6,24,17.71429,17.68911,0.132503,99.8579,125858.3502,54,1.657526,3.007567,3.584357,4.140329,4.356928,3.150147,5.166231,5.099882,Species included to maintain geographic representation of the western region,,,Layresii,Layresi,419,Petromyz,Lampetra,622248,.,1,31.1,6,7,11400,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,3,4,13
Lepisosteus oculatus,Lepisosteidae,Lepisosteus,oculatus,spotted gar,0.369501279,0.630498721,0.26253449,0.73746551,0.683982116,0.116273097,970,848,216,122,279,http://services.itis.gov/?q=tsn:161095,"Lepisosteus oculatus,Lespisosteus oculatus","Iowa,Kansas,Michigan,Ohio,Pennsylvania","Kansas,Ohio,Pennsylvania",1,0,FALSE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=756,1222.674603,22852.41814,75810.49681,226232.333,1553815.158,64150.08812,521275.39,99,100,104,107,108,109,114,105.8571,5.273474,0.831257,4.981689,929081.2519,112,3.087311,4.358932,4.879729,5.354555,5.717067,4.807197,6.191399,5.968054,,,,Loculatu,Loculatu,447,Lepisost,Lepisost,161095,.,1,112,3.5,18,22000,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Lota lota,Gadidae,Lota,lota,chain pickerel,0.548288887,0.451711113,0.077981502,0.922018498,0.686864805,0.055586714,40,715,170,28,37,http://services.itis.gov/?q=tsn:164725,Lota lota,"Connecticut,Idaho,Iowa,Kentucky,Maine,Massachusetts,New Hampshire,Ohio,Pennsylvania,Wyoming","Alaska,Connecticut,Idaho,Illinois,Iowa,Kentucky,Maine,Massachusetts,Nebraska,New Hampshire,North Dakota,Ohio,Pennsylvania,Washington,Wyoming",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=698,116.3325068,2839.704364,11034.30823,40763.79944,3005623.797,29243.48801,163675.7536,23,37,43,54,121,92,79,64.14286,34.66232,0.500566,54.03925,928195.6715,111,2.065701,3.453273,4.042745,4.610275,5.213984,4.466029,6.477935,5.96764,Species included to maintain taxonomic representation of the family group and to maintain geographic representation of the Mississippi and western regions,,,Llota,Llota,437,Gadidae,Lota,164725,.,1,152,3,20,1362000,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
Hiodon tergisus,Hiodontidae,Hiodon,tergisus,mooneye,0.521390112,0.478609888,0.082858977,0.917141023,0.697875455,0.057849178,131,558,185,52,94,http://services.itis.gov/?q=tsn:161906,Hiodon tergisus,"Georgia,Michigan,Missouri,New York,Ohio,Oklahoma,Pennsylvania,Vermont,West Virginia","Arkansas,Georgia,Illinois,Michigan,Missouri,New York,North Carolina,Ohio,Oklahoma,Vermont",1,0,TRUE,,No,,343.9102793,7424.135165,26595.42215,87027.07529,1521813.707,11829.41763,220156.44,64,67,75,82,107,67,91,79,15.63117,0.618347,19.78629,857903.1775,105,2.536445,3.870646,4.424807,4.939654,5.342731,4.072963,6.182361,5.933438,,,,Htergisu,Htergisu,393,Hiodonti,Hiodon,161906,.,1,47,2.5,8,20000,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Pungitius pungitius,Gasterosteidae,Pungitius,pungitius,ninespine stickleback,0.385559865,0.614440135,0.217024459,0.782975541,0.698707838,0.201180022,28,119,55,11,17,http://services.itis.gov/?q=tsn:166387,"Pungitius pungitius,Pungitius pungitius occidentalis,Pungitius pungitius occidentalis 3,Pungitius pungitius occidentalis 4","Alaska,New York","Alaska,Illinois,New York",1,0,FALSE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=704,60.55984225,1417.584603,5505.214175,20066.38983,989222.0167,141551.2687,175136.3865,7,11,20,31,96,124,82,53,46.87572,0.412231,88.44476,286058.2937,73,1.782185,3.151549,3.740774,4.302469,5.243376,5.150914,5.995294,5.456455,Species included to maintain taxonomic representation of the family group and to maintain geographic representation of the Mississippi region,,,Ppungiti,Ppungiti,698,Gasteros,Pungitiu,166387,.,1,9,1.5,5,350,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,10
Etheostoma stigmaeum,Percidae,Etheostoma,stigmaeum,speckled darter,0.24416575,0.75583425,0.356996048,0.643003952,0.699419101,0.021008163,2884,2178,149,90,736,http://services.itis.gov/?q=tsn:168437,Etheostoma stigmaeum,"Florida,Kansas,Virginia","Kansas,Virginia",1,0,FALSE,,No,,4126.270883,60668.38101,144314.9503,265527.858,538893.1804,77520.2276,345152.68,120,116,114,111,84,114,106,109.2857,11.95428,0.858437,10.93856,417101.9809,92,3.615558,4.782962,5.159311,5.42411,5.538011,4.889415,5.731503,5.620242,,,,Estigmae,Estigmae,289,Percidae,Etheosto,168437,.,1,6.1,1,3,440,1,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,9
