Scientific Name,Family,Genus,Species,CommonName,CS,1-CS,AOO,1-AOO,RCS,RCS.sd,# GBIF occurrence points post-filtering,# records from IcthyMaps,#HUC-8 from IcthyMaps,#HUC-8s from GBIF records,#HUC-12 from GBIF records,acceptedauthorityapi,scientificnames_submitted,statelist_2005,statelist_2015,Status,SCS Listing,InDistributionModelList,Species Conservation List,NAS occurrence,NASLink,AOO_1km_buffer,AOO_5km_buffer,AOO_10km_buffer,AOO_20km_buffer,EOO_MCP,AOO_HUC12,AOO_HUC8,Rank_1km_Buffer,Rank_5km_buffer,Rank_10km_buffer,Rank_20km_buffer,Rank_MCP,Rank_HUC12,Rank_HUC8,Mean Rank,SD Rank,Standardized mean rank (Z-score),CVRank,NatureServe_Range Size,NatureServe Rank,logBuffer1km,logBuffer5km,logBuffer100km,logBuffer20km,logHUC8,logHUC12,logMCP,logNatureServe,Justication if GBIF # records<50,Nomenclature changes,Other notes,SID,ALTSID,NOTES,FID,GID,ITISTSN,OTHERNAMES,NATIVE,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,SEASON,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,LISTED,REASON,dietary breadth,niche breadth
Hiodon alosoides,Hiodontidae,Hiodon,alosoides,goldeye,0.531819409,0.468180591,0.06886418,0.93113582,0.699658206,0.051949509,156,549,192,38,76,http://services.itis.gov/?q=tsn:161905,Hiodon alosoides,"Alabama,Arkansas,Iowa,Ohio,Pennsylvania,Texas,West Virginia,Wisconsin,Wyoming","Alabama,Arkansas,Ohio,Texas,West Virginia,Wisconsin,Wyoming",1,0,TRUE,,No,,335.5403025,7161.30429,24868.37207,81643.75218,1874563.037,11526.82883,159852.19,62,66,70,76,113,66,76,75.57143,17.31913,0.591166,22.91757,896311.3785,109,2.525745,3.854992,4.395647,4.911923,5.203719,4.06171,6.2729,5.952459,,,,Halosoid,Halosoid,367,Hiodonti,Hiodon,161905,.,1,52,4,12,25000,0,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Cycleptus elongatus,Catostomidae,Cycleptus,elongatus,blue sucker,0.541936796,0.458063204,0.058548356,0.941451644,0.699757424,0.05207769,94,437,154,36,54,http://services.itis.gov/?q=tsn:163953,Cycleptus elongatus,"Arkansas,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,Montana,Nebraska,New Mexico,North Dakota,Ohio,Oklahoma,Tennessee,Texas,West Virginia,Wisconsin","Arkansas,Iowa,Kansas,Louisiana,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Mexico,North Dakota,Ohio,Oklahoma,South Dakota,Tennessee,Texas,West Virginia,Wisconsin",1,0,TRUE,,No,,189.8378806,4223.964634,15979.46347,58301.62422,1672611.122,6449.667506,185225.2282,41,46,56,65,110,52,85,65,24.53569,0.507361,37.74721,966047.0855,113,2.278383,3.62572,4.203562,4.765681,5.2677,3.809537,6.223395,5.984998,,,,Celongat,Cyelonga,162,Catostom,Cycleptu,163953,.,1,93,6,11.5,149520,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,8
Culaea inconstans,Gasterosteidae,Culaea,inconstans,Brook stickleback,0.288767923,0.711232077,0.30416564,0.69583436,0.703533219,0.144277764,207,1265,213,85,141,https://www1.usgs.gov/csas/swap/species_view.html?sciname=Morone%20saxatilis,Culaea inconstans,"Nebraska, Illinois","New Jersey, Maine",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=701,522.9142943,11232.08102,39560.33677,133114.7171,2366016.082,131442.6916,504413.095,77,84,88,97,119,123,113,100.1429,18.24307,0.785957,18.21704,991549.209,114,2.718431,4.05046,4.59726,5.124226,5.702786,5.118736,6.374018,5.996314,,,"New species added in July 2018, increasing initial dataset from 124 to 129 species",Cinconst,Cinconst,94,Gasteros,Culaea,166399,.,1,8.7,1,2.5,250,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,15
Etheostoma gracile,Percidae,Etheostoma,gracile,slough darter,0.335766036,0.664233964,0.253253759,0.746746241,0.705490103,0.064843258,664,1817,208,111,428,http://services.itis.gov/?q=tsn:168366,Etheostoma gracile,Kansas,Kansas,1,0,FALSE,,No,,1630.713825,33880.46558,104547.9058,261368.703,725504.1218,46259.20817,449673.28,106,107,110,109,88,103,110,104.7143,7.782765,0.822197,7.432381,681784.0015,100,3.212378,4.529949,5.019315,5.417254,5.652897,4.665198,5.86064,5.833647,,,,Egracile,Egracile,217,Percidae,Etheosto,168366,.,1,6,1,3.5,50,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9
Gila robusta,Cyprinidae,Gila,robusta,roundtail chub,0.55242504,0.44757496,0.031149312,0.968850688,0.708212824,0.0635724,38,284,65,20,28,http://services.itis.gov/?q=tsn:163558,Gila robusta,"Arizona,Colorado,New Mexico,Utah,Wyoming","Arizona,Colorado,New Mexico,Utah,Wyoming",3,4,TRUE,,No,,90.44000509,2097.087679,8064.913097,30069.02245,319890.103,2941.535405,108881.04,15,24,35,41,65,28,59,38.14286,18.31601,0.294451,48.0195,374266.9078,86,1.956361,3.321617,3.9066,4.478119,5.036952,3.468574,5.505001,5.573181,Species included to maintain geographic representation of the Mississippi and western regions,,,Grobusta,Grobusta,364,Cyprinid,Gila,163558,.,1,43,2,9,45125,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,12
Lepisosteus platostomus,Lepisosteidae,Lepisosteus,platostomus,shortnose gar,0.473743644,0.526256356,0.107933669,0.892066331,0.709161343,0.068912524,187,563,190,70,125,http://services.itis.gov/?q=tsn:161096,Lepisosteus platostomus,"Alabama,Montana,Ohio","Alabama,Montana,Ohio",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=757,431.0972257,10135.24971,36183.51222,116721.8376,1067655.944,14489.68471,286703.35,70,81,84,92,97,75,103,86,11.91638,0.673839,13.85625,992714.3389,115,2.634575,4.005834,4.558511,5.067152,5.457433,4.161059,6.028431,5.996824,,,,Lplatost,Lplatost,452,Lepisost,Lepisost,161096,.,1,88,3,20,36460,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Morone mississippiensis,Moronidae,Morone,mississippiensis,yellow bass,0.496907359,0.503092641,0.078398529,0.921601471,0.712347056,0.075796033,121,471,152,51,86,http://services.itis.gov/?q=tsn:167683,Morone mississippiensis,Minnesota,Minnesota,1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=785,306.7153026,7019.49371,25588.66255,85270.27562,983671.3353,13327.98153,196620.72,58,63,72,81,95,72,87,75.42857,13.10035,0.590034,17.36788,486029.2824,95,2.486735,3.846306,4.408048,4.930798,5.293629,4.124764,5.99285,5.686662,,,,Mmississ,Mmississ,493,Moronida,Morone,167683,.,1,46,3,6,165000,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
Umbra pygmaea,Umbridae,Umbra,pygmaea,eastern mudminnow,0.360065167,0.639934833,0.198212223,0.801787777,0.720861305,0.036971377,732,718,93,75,427,http://services.itis.gov/?q=tsn:162148,Umbra pygmaea,Florida,"Delaware,Florida,New Jersey,Pennsylvania",1,0,FALSE,,No,,1820.316372,33472.90827,86876.3864,175130.911,357058.8204,41273.23977,242566.24,108,106,105,103,71,101,94,98.28571,12.8545,0.771234,13.0787,279569.7393,72,3.260147,4.524693,4.938902,5.243363,5.38483,4.615669,5.55274,5.44649,,,"Deleted one nonnative occurrence record, changed Nacceptable records from 748 to 747, Records.since.1975 from 533 to 532, Records.since.1980 from 477 to 476.",Upygmaea,Upygmaea,767,Umbridae,Umbra,162148,.,1,11.5,1,4,1500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,10
Umbra limi,Umbridae,Umbra,limi,central mudminnow,0.356167798,0.643832202,0.19643914,0.80356086,0.723696531,0.095049897,184,2264,203,75,132,http://services.itis.gov/?q=tsn:162153,Umbra limi,"Illinois,Iowa,Kentucky,Missouri,South Dakota,West Virginia","Arkansas,Illinois,Iowa,Kentucky,Missouri,Ohio,Pennsylvania,South Dakota,West Virginia",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=977,483.0882342,10494.67917,37150.70924,121475.3682,1649396.651,69804.64484,369516.9481,75,82,85,94,109,112,107,94.85714,14.71313,0.744054,15.51083,892534.7947,108,2.684026,4.020969,4.569967,5.084488,5.567634,4.843884,6.217325,5.950625,,,,Ulimi,Ulimi,766,Umbridae,Umbra,162153,.,1,14,1,4,1500,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,12
Morone saxatilis,Moronidae,Morone,saxatilis,Rockfish,0.448016745,0.551983255,0.100115451,0.899884549,0.725933902,0.053858265,190,927,306,69,112,https://www1.usgs.gov/csas/swap/species_view.html?sciname=Morone%20saxatilis,Morone saxatilis,"Florida, Mississippi, South Carolina, Conneticut, Maine","South Carolina, New Jersey, Delaware, Conneticut, Maine",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=787,424.4618163,9122.499148,32103.89023,107974.508,1328182.287,13288.72228,269121.17,69,76,79,90,103,71,100,84,13.75984,0.657984,16.38077,541402.8492,97,2.627839,3.960114,4.506558,5.033321,5.429948,4.123483,6.123258,5.733521,,,"New species added in July 2018, increasing initial dataset from 124 to 129 species",Msaxatil,Msaxatil,500,Moronida,Morone,167680,.,1,200,4.5,30,5000000,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
Percopsis omiscomaycus,Percopsidae,Percopsis,omiscomaycus,trout-perch,0.453596861,0.546403139,0.088871257,0.911128743,0.728765941,0.04869479,70,809,156,31,58,http://services.itis.gov/?q=tsn:164409,"Percopisis omiscomaycus,Percopsis omiscomaycus","Alaska,Illinois,Indiana,Iowa,Maryland,Missouri,Montana,Nebraska,North Dakota,South Dakota,Virginia","Alaska,Illinois,Indiana,Iowa,Missouri,Montana,Nebraska,North Dakota,South Dakota",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=833,186.1680836,4255.702661,15746.72987,55578.89239,1779026.354,31722.98162,178926.78,40,47,55,62,112,97,83,70.85714,27.00265,0.553794,38.10857,711686.8732,101,2.269905,3.628971,4.19719,4.74491,5.252675,4.501374,6.250182,5.852289,,,,Pomiscom,Pomiscom,688,Percopsi,Percopsi,164409,.,1,20,1,2.5,1825,0,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
Catostomus macrocheilus,Catostomidae,Catostomus,macrocheilus,largescale sucker,0.490900928,0.509099072,0.046316973,0.953683027,0.73139105,0.057997815,78,145,73,30,50,NA,NA,NA,NA,0,0,FALSE,,No,,170.6496839,3911.580479,14009.54622,47008.32188,349536.1954,5518.183207,139453.28,34,45,49,60,70,44,74,53.71429,14.70504,0.417894,27.3764,316811.0969,80,2.232105,3.592352,4.146424,4.672175,5.144429,3.741796,5.543492,5.5008,,,,Cmacroch,Cmacroch,105,Catostom,Catostom,163896,.,1,61,5,16,20000,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
Mylopharodon conocephalus,Cyprinidae,Mylopharodon,conocephalus,hardhead,0.51211145,0.48788855,0.019577681,0.980422319,0.734155435,0.088454274,41,73,30,17,27,http://services.itis.gov/?q=tsn:163587,Mylopharodon conocephalus,California,California,1,0,FALSE,,No,,106.6448897,2236.734619,7878.356597,25307.80835,60085.6095,2740.816063,52162.09,20,27,32,36,40,25,40,31.42857,7.742892,0.241223,24.63648,149542.3311,59,2.02794,3.349614,3.896436,4.403255,4.717355,3.43788,4.77877,5.174764,Species included to maintain geographic representation of the western region,,,Mconocep,Mconocep,478,Cyprinid,Mylophar,163587,.,1,100,3,10,24000,0,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
Acrocheilus alutaceus,Cyprinidae,Acrocheilus,alutaceus,chiselmouth,0.449741278,0.550258722,0.0802205,0.9197795,0.735019111,0.040615492,163,66,40,46,101,NA,NA,NA,NA,0,0,FALSE,,No,,387.8768747,7685.538936,26090.26163,84045.14992,343547.5127,10353.825,212642.75,66,69,73,80,68,64,89,72.71429,8.901578,0.568516,12.24186,322176.1566,81,2.588694,3.885674,4.416478,4.924513,5.327651,4.015101,5.535987,5.508093,,,,Aalutace,Aalutace,3,Cyprinid,Acrochei,163531,.,1,30,4.5,8,18400,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10
Cyprinella camura,Cyprinidae,Cyprinella,camura,bluntface shiner,0.386450117,0.613549883,0.14022144,0.85977856,0.736664222,0.038476143,1082,394,33,40,307,http://services.itis.gov/?q=tsn:163776,"Cyprinella camura,Cyprinella camurus","Arkansas,Kentucky,Louisiana,Missouri,Oklahoma","Arkansas,Kentucky,Louisiana,Missouri,Oklahoma",1,0,TRUE,,No,,1592.156767,23883.10468,56804.58717,109427.7874,394486.4022,31309.99147,139431.4,105,103,97,91,74,96,73,91.28571,12.99634,0.715742,14.23699,173270.5854,65,3.201986,4.378091,4.754383,5.039128,5.144361,4.495683,5.596032,5.238725,,,,Ccamura,Ccamura,63,Cyprinid,Cyprinel,163776,.,1,11,1.5,3,370,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
Catostomus clarkii,Catostomidae,Catostomus,clarkii,desert sucker,0.483671195,0.516328805,0.042489569,0.957510431,0.736919618,0.054518231,95,525,31,18,56,http://services.itis.gov/?q=tsn:163901,"Catostomus clarki,Catostomus clarkii,Catostomus clarkii ssp. (unnamed)","Arizona,New Mexico,Utah","Arizona,Nevada,New Mexico,Utah",1,0,TRUE,,No,,197.6687589,4260.284288,14781.43851,41981.06757,151520.1143,6293.08981,110378.09,45,48,52,57,55,50,62,52.71429,5.765249,0.409966,10.93679,150008.7566,60,2.295938,3.629439,4.169717,4.623053,5.042883,3.798864,5.18047,5.176117,,,,Cclarkii,Cclarkii,68,Catostom,Catostom,163901,.,1,33,3,9,20000,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,12
Mylocheilus caurinus,Cyprinidae,Mylocheilus,caurinus,peamouth,0.488095946,0.511904054,0.032786829,0.967213171,0.739558613,0.033297569,68,76,35,23,38,NA,NA,NA,NA,0,0,FALSE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=2349,161.0516446,3133.939624,10634.84784,34582.64797,401704.3066,4274.26797,92401.46,32,39,41,49,75,39,56,47.28571,14.47658,0.366931,30.61513,297713.4107,76,2.206965,3.496091,4.026731,4.538858,4.965679,3.630862,5.603906,5.473798,,,,Mcaurinu,Mcaurinu,475,Cyprinid,Mylochei,163521,.,1,36,4,13,34841,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Fundulus dispar,Fundulidae,Fundulus,dispar,Starhead topminnow,0.479149536,0.520850464,0.039480695,0.960519305,0.740684884,0.031604596,89,149,59,22,44,http://services.itis.gov/?q=tsn:165672,Fundulus dispar,"Illinois,Kentucky,Michigan,Mississippi,Missouri,Wisconsin","Illinois,Iowa,Kentucky,Michigan,Mississippi,Missouri,Wisconsin",1,0,FALSE,,No,,195.4427008,3662.410704,12319.06845,39912.13025,519418.5423,4488.903594,114567.81,44,44,46,53,82,40,64,53.28571,14.95231,0.414496,28.06063,238102.5326,67,2.291019,3.563767,4.090578,4.601105,5.059063,3.65214,5.715517,5.376764,,,,Fdispar,Fdispar,323,Fundulid,Fundulus,165672,northern starhead topminnow,1,7.8,1.5,2.5,800,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
Crenichthys baileyi,Goodeidae,Crenichthys,baileyi,White River springfish,0.503560066,0.496439934,0.006112444,0.993887556,0.745163745,0.120770008,176,16,2,2,13,NA,NA,NA,NA,3,4,FALSE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=719,62.92186668,1098.053163,3336.629465,9726.144708,7587.221009,1647.092254,12138.62,8,8,8,9,13,8,10,9.142857,1.864454,0.064553,20.39247,12001.25103,7,1.798802,3.040623,3.523308,3.987941,4.084169,3.216718,3.880083,4.079227,,,,.,Cbaileyi,51,Goodeida,Crenicht,165687,.,1,5,0.5,NA,50,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,6,8
Etheostoma swaini,Percidae,Etheostoma,swaini,Gulf darter,0.208813979,0.791186021,0.286354087,0.713645913,0.752415967,0.015789615,1640,1373,90,79,608,http://services.itis.gov/?q=tsn:168439,Etheostoma swaini,Kentucky,Kentucky,1,0,FALSE,,No,,3002.560697,49547.4921,124414.1066,232752.0326,324441.0974,62842.18169,284992.09,114,115,112,108,67,108,102,103.7143,16.78009,0.81427,16.17915,297571.6081,75,3.477492,4.695022,5.09487,5.366893,5.454833,4.798251,5.511136,5.473591,,,,Eswaini,Eswaini,292,Percidae,Etheosto,168439,.,1,7.8,1,3,90,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
Polyodon spathula,Polyodontidae,Polyodon,spathula,paddlefish,0.432020475,0.567979525,0.06085658,0.93914342,0.753561473,0.053711115,121,1244,262,40,55,http://services.itis.gov/?q=tsn:161088,"Polydon spathula,Polyodon spathula","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Texas,Virginia,West Virginia,Wisconsin","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Missouri,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Tennessee,Texas,Virginia,West Virginia,Wisconsin",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=876,221.8650855,4862.465402,17796.79981,62637.53614,1179554.41,7590.96192,180108.23,48,55,60,69,99,55,84,67.14286,18.32511,0.524349,27.29271,1211141.157,118,2.346089,3.686857,4.250342,4.796835,5.255534,3.880297,6.071718,6.083195,,,,Pspathul,Pspathul,706,Polyodon,Polyodon,161088,.,1,221,8,25,1000000,0,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,9
Elassoma evergladei,Elassomatidae,Elassoma,evergladei,Carolina pygmy sunfish,0.265946679,0.734053321,0.226492016,0.773507984,0.753780652,0.037613596,923,257,76,70,405,http://services.itis.gov/?q=tsn:168169,Elassoma evergladei,North Carolina,"North Carolina,South Carolina",1,0,FALSE,,No,,2092.667326,34183.34593,87345.4366,179552.3226,527669.5295,56955.05844,250303.67,109,108,106,105,83,106,97,102,9.237604,0.80068,9.056475,271215.5708,71,3.3207,4.533815,4.94124,5.254191,5.398467,4.755532,5.722362,5.433315,,,,Eevergla,Eevergla,209,Elassoma,Elassoma,168169,.,1,3.4,1,2,500,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7
Percina copelandi,Percidae,Percina,copelandi,channel darter,0.355063357,0.644936643,0.134109149,0.865890851,0.755413747,0.051767148,437,576,121,52,212,http://services.itis.gov/?q=tsn:168480,Percina copelandi,"Indiana,Kansas,Louisiana,Michigan,Missouri,Ohio,Pennsylvania,Vermont,Virginia,West Virginia","Indiana,Kansas,Louisiana,Michigan,Missouri,Ohio,Vermont,Virginia,West Virginia",1,0,TRUE,,No,,887.8045274,16737.01915,49216.34841,118969.8779,1502477.417,23187.81565,266812.6968,90,91,93,93,105,87,99,94,6.082763,0.737259,6.471024,471935.3236,93,2.948317,4.223678,4.692109,5.075437,5.426206,4.36526,6.176808,5.673882,,,,Pcopelan,Pcopelan,645,Percidae,Percina,168480,.,1,7,1,NA,700,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
Esox lucius,Esocidae,Esox,lucius,redfin pickerel,0.333390131,0.666609869,0.155747287,0.844252713,0.755431291,0.062610975,121,2543,353,63,98,http://services.itis.gov/?q=tsn:162139,"Esox lucius,Esox Lucius",Illinois,"Alaska,Illinois,Iowa",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=676,337.4714924,7843.504684,29302.78015,104916.7993,1721030.694,37031.88242,413814.613,63,70,76,88,111,98,109,87.85714,18.98621,0.688562,21.61032,1049021.037,116,2.528237,3.89451,4.466909,5.020845,5.616806,4.568576,6.235789,6.020784,,,,Elucius,Elucius,233,Esocidae,Esox,162139,.,1,150,2,30,600000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
Heterandria formosa,Poeciliidae,Heterandria,formosa,least killifish,0.236143124,0.763856876,0.249816663,0.750183337,0.757020107,0.049675389,1263,311,69,59,447,http://services.itis.gov/?q=tsn:165915,Heterandria formosa,"Mississippi,North Carolina","Mississippi,North Carolina",1,0,FALSE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=852,2515.791875,39804.91535,97165.46103,183672.0913,710990.8106,65479.91472,231359.03,112,110,108,106,87,110,93,103.7143,9.707631,0.81427,9.359975,265688.8474,69,3.400675,4.599937,4.987512,5.264043,5.364286,4.816108,5.851864,5.424373,,,,Hformosa,Hformosa,376,Poecilii,Heterand,165915,.,1,3.6,0.3,2.5,300,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10
Esox masquinongy,Esocidae,Esox,masquinongy,northern pike,0.429922733,0.570077267,0.048831496,0.951168504,0.760622886,0.018034653,63,923,195,36,55,http://services.itis.gov/?q=tsn:162144,Esox masquinongy,"Illinois,Vermont","Illinois,New York",1,0,TRUE,,Yes,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=679,174.8964112,4274.166482,16434.89649,60997.0282,1390558.502,5060.708,146655.1038,36,49,57,68,104,42,75,61.57143,23.2297,0.480181,37.72805,605196.631,99,2.242781,3.630851,4.215767,4.785309,5.166297,3.704211,6.143189,5.781897,,,,Emasquin,Emasquin,238,Esocidae,Esox,162144,.,1,183,4,30,225000,0,1.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
Acantharchus pomotis,Centrarchidae,Acantharchus,pomotis,mud sunfish,0.325101123,0.674898877,0.146311427,0.853688573,0.764293725,0.042104416,451,992,83,58,291,http://services.itis.gov/?q=tsn:168095,"Acantharchus pomotis,Acantharcus pomotis","Delaware,Florida,Maryland,New York,South Carolina,Virginia","Alabama,Delaware,Florida,Maryland,New Jersey,Virginia",1,0,TRUE,,No,,1173.202988,22885.61179,64146.13734,139698.7619,320650.5322,29121.65179,210266.15,97,101,100,100,66,91,88,91.85714,12.42885,0.720272,13.53062,268875.6098,70,3.069373,4.359563,4.807171,5.145193,5.322769,4.464216,5.506032,5.429551,,,,Apomotis,Apomotis,29,Centrarc,Acanthar,168095,.,1,21,1,4,11838,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10
Notropis photogenis,Cyprinidae,Notropis,photogenis,silver shiner,0.328113272,0.671886728,0.133857795,0.866142205,0.769014466,0.053590051,396,1653,139,69,230,http://services.itis.gov/?q=tsn:163461,Notropis photogenis,"Georgia,Michigan,North Carolina","Georgia,Michigan",1,0,FALSE,,No,,944.4829579,17938.24119,55025.47339,150021.1032,381391.3167,21925.87106,248853.45,92,93,96,101,73,84,95,90.57143,9.28901,0.710079,10.25601,389427.1105,87,2.975194,4.25378,4.740564,5.176152,5.395944,4.340957,5.581371,5.590426,,,,Nphotoge,Nphotoge,583,Cyprinid,Notropis,163461,.,1,14,2,3,4500,0,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
Macrhybopsis hyostoma,Cyprinidae,Macrhybopsis,hyostoma,shoal chub,0.367729197,0.632270803,0.083513402,0.916486598,0.774378701,0.0463335,298,156,43,43,116,http://services.itis.gov/?q=tsn:553280,"Macrhybopsis hyostoma,Macrhybopsis hyostomus","Georgia,Kansas,West Virginia,Wisconsin","Alabama,Arkansas,Illinois,Iowa,Kansas,Louisiana,Ohio,West Virginia,Wisconsin",1,0,FALSE,,No,,417.8940899,9025.289988,31438.68579,97671.11879,1241048.596,13063.59897,192130.15,68,75,78,84,101,68,86,80,11.61895,0.626274,14.52369,884669.9568,107,2.621066,3.955461,4.497464,4.989766,5.283596,4.116063,6.093789,5.946781,,,,,,NA,,,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catostomus insignis,Catostomidae,Catostomus,insignis,Sonora sucker,0.407349311,0.592650689,0.019825517,0.980174483,0.786412586,0.0486422,36,378,29,9,26,http://services.itis.gov/?q=tsn:163905,Catostomus insignis,"Arizona,New Mexico","Arizona,New Mexico",1,0,TRUE,,No,,92.73959002,2048.786902,7326.325979,22756.64669,74733.29726,3051.543438,54804.67,16,23,30,33,43,29,42,30.85714,9.685532,0.236693,31.3883,110139.8549,49,1.967265,3.311497,3.864886,4.357108,4.738818,3.48452,4.873514,5.041944,Species included to maintain geographic representation of the western region,,Manually reinstated in species list (initially filtered out due to sample size <50 records),Cinsigni,Cinsigni,95,Catostom,Catostom,163905,.,1,80,3,8,50000,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,12
